claim_id,claim_type,case,manuscript_location,manuscript_claim,expected_value,unit,dataset_and_frame_scope,denominator,split_role,preprocessing,checkpoint,prediction_source,matching_rule,metric_formula,aggregation,uncertainty_definition,reproduced_value,numerical_agreement,methodological_validity,classification,evidence,blocking_issue_or_note
DET-NUC-TP,detection,Gastruloid nuclei,main.tex:395,TP detection result,124,events,released evaluation movie,145 current-evaluator GT components; 125 predictions,config validation=test,released protocol; original scales.json absent,epoch_067 strongly identified; last.ckpt differs,released probability and current-code epoch_067 inference,manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,one-to-one matched true events,single-movie component counts,,124,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/nuclei_saved_probability_replay.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/arithmetic_and_uncertainty.json,"Exact released-evaluator/checkpoint aggregate agreement. Stated 10-voxel matcher gives 121 TP, 4 FP, 24 FN, F1 89.63%; validation=test."
DET-NUC-FP,detection,Gastruloid nuclei,main.tex:395,FP detection result,1,events,released evaluation movie,145 current-evaluator GT components; 125 predictions,config validation=test,released protocol; original scales.json absent,epoch_067 strongly identified; last.ckpt differs,released probability and current-code epoch_067 inference,manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,unmatched predictions,single-movie component counts,,1,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/nuclei_saved_probability_replay.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/arithmetic_and_uncertainty.json,"Exact released-evaluator/checkpoint aggregate agreement. Stated 10-voxel matcher gives 121 TP, 4 FP, 24 FN, F1 89.63%; validation=test."
DET-NUC-FN,detection,Gastruloid nuclei,main.tex:395,FN detection result,21,events,released evaluation movie,145 current-evaluator GT components; 125 predictions,config validation=test,released protocol; original scales.json absent,epoch_067 strongly identified; last.ckpt differs,released probability and current-code epoch_067 inference,manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,unmatched ground truth,single-movie component counts,,21,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/nuclei_saved_probability_replay.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/arithmetic_and_uncertainty.json,"Exact released-evaluator/checkpoint aggregate agreement. Stated 10-voxel matcher gives 121 TP, 4 FP, 24 FN, F1 89.63%; validation=test."
DET-NUC-F1,detection,Gastruloid nuclei,main.tex:395,F1 detection result,91.8,percent,released evaluation movie,145 current-evaluator GT components; 125 predictions,config validation=test,released protocol; original scales.json absent,epoch_067 strongly identified; last.ckpt differs,released probability and current-code epoch_067 inference,manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,2TP/(2TP+FP+FN),single-movie component counts,,91.8518518519,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/nuclei_saved_probability_replay.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/arithmetic_and_uncertainty.json,"Exact released-evaluator/checkpoint aggregate agreement. Stated 10-voxel matcher gives 121 TP, 4 FP, 24 FN, F1 89.63%; validation=test."
DET-NUC-CI,detection,Gastruloid nuclei,main.tex:395,CI detection result,87.8--94.6,percent,released evaluation movie,145 current-evaluator GT components; 125 predictions,config validation=test,released protocol; original scales.json absent,epoch_067 strongly identified; last.ckpt differs,released probability and current-code epoch_067 inference,manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,logit multinomial delta interval from TP/FP/FN,single-movie component counts,multinomial logit-delta CI,87.7500--94.6638,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/nuclei_saved_probability_replay.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/arithmetic_and_uncertainty.json,"Exact released-evaluator/checkpoint aggregate agreement. Stated 10-voxel matcher gives 121 TP, 4 FP, 24 FN, F1 89.63%; validation=test."
DET-MEM-TP,detection,Neural-tube membrane,main.tex:402,TP detection result,114,events,released evaluation movie,122 released GT components; 122 retained predictions,config validation=test,released protocol; original scales.json absent,not testable from raw input,"released stats, probability, and match renderings",manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,one-to-one matched true events,single-movie component counts,,114,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/membrane_fp_investigation.json; evidence/saved_detection_reconstruction.json; evidence/arithmetic_and_uncertainty.json,"Arithmetic/components trace exactly, including hidden eighth FP. Raw neural labels are absent and released movie conflicts with set 3."
DET-MEM-FP,detection,Neural-tube membrane,main.tex:402,FP detection result,8,events,released evaluation movie,122 released GT components; 122 retained predictions,config validation=test,released protocol; original scales.json absent,not testable from raw input,"released stats, probability, and match renderings",manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,unmatched predictions,single-movie component counts,,8,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/membrane_fp_investigation.json; evidence/saved_detection_reconstruction.json; evidence/arithmetic_and_uncertainty.json,"Arithmetic/components trace exactly, including hidden eighth FP. Raw neural labels are absent and released movie conflicts with set 3."
DET-MEM-FN,detection,Neural-tube membrane,main.tex:402,FN detection result,8,events,released evaluation movie,122 released GT components; 122 retained predictions,config validation=test,released protocol; original scales.json absent,not testable from raw input,"released stats, probability, and match renderings",manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,unmatched ground truth,single-movie component counts,,8,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/membrane_fp_investigation.json; evidence/saved_detection_reconstruction.json; evidence/arithmetic_and_uncertainty.json,"Arithmetic/components trace exactly, including hidden eighth FP. Raw neural labels are absent and released movie conflicts with set 3."
DET-MEM-F1,detection,Neural-tube membrane,main.tex:402,F1 detection result,93.4,percent,released evaluation movie,122 released GT components; 122 retained predictions,config validation=test,released protocol; original scales.json absent,not testable from raw input,"released stats, probability, and match renderings",manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,2TP/(2TP+FP+FN),single-movie component counts,,93.4426229508,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/membrane_fp_investigation.json; evidence/saved_detection_reconstruction.json; evidence/arithmetic_and_uncertainty.json,"Arithmetic/components trace exactly, including hidden eighth FP. Raw neural labels are absent and released movie conflicts with set 3."
DET-MEM-CI,detection,Neural-tube membrane,main.tex:402,CI detection result,89.5--96.0,percent,released evaluation movie,122 released GT components; 122 retained predictions,config validation=test,released protocol; original scales.json absent,not testable from raw input,"released stats, probability, and match renderings",manuscript: centers within 10 voxels and +/-1 frame; released: temporal dilation + 4D components + IoU/greedy,logit multinomial delta interval from TP/FP/FN,single-movie component counts,multinomial logit-delta CI,89.4118--96.0075,exact/display precision under released arithmetic,not an independent test and not equivalent to stated matcher,partially reproducible,evidence/membrane_fp_investigation.json; evidence/saved_detection_reconstruction.json; evidence/arithmetic_and_uncertainty.json,"Arithmetic/components trace exactly, including hidden eighth FP. Raw neural labels are absent and released movie conflicts with set 3."
REG-NUC-ORIENTATION,regression,Gastruloid nuclei,main.tex:395,orientation-angle error 28 degrees +/- 2 degrees,28 +/- 2,degrees,released nuclei evaluation,reported n=145 all-GT; effective n=140,config validation=test,current regression evaluation skips spatial resampling,epoch_098 strongly identified,all_groundtruth_centers headline; predicted_centers is end-to-end,all-GT mode does not require detector match,full-quaternion 2*acos(abs(q_true dot q_pred)); not nematic axis error,population SD used as central value,SD/sqrt(reported n),released mean 25.305946; released SD 28.017927; epoch098 SD 28.018522; SD/sqrt(145) 2.326812,display-precision checkpoint agreement,invalid wording/statistic and non-nematic metric; not end-to-end,partially reproducible,evidence/regression_artifact_analysis.json; evidence/nuclei_regression_checkpoint_compatibility_summary.json; evidence/regression_event_metrics.csv,"28 is SD, not mean (25.306); predicted-center mean is 37.47. Historical raw arrays/scales absent."
REG-MEM-ORIENTATION,regression,Neural-tube membrane,main.tex:402,orientation-angle error 28 degrees +/- 2 degrees,28 +/- 2,degrees,released membrane evaluation,n=122 all-GT centers,config validation=test; released movie conflicts with set,raw neural input/annotation unavailable; raster only,checkpoint-to-result identity untested,all_groundtruth_centers headline; predicted_centers is end-to-end,released matching IDs only,released full-quaternion; raster permits approximate nematic error,population SD used as central value,SD/sqrt(n),released mean 49.566067; released SD 27.104113; SD/sqrt(122) 2.453891,saved-statistic trace only,invalid wording/statistic and non-nematic metric; not end-to-end,partially reproducible,evidence/regression_artifact_analysis.json; evidence/regression_event_metrics.csv; evidence/regression_raster_decoder_validation.csv,"28 is SD, not mean (49.566). Raw annotations absent; 37/350 raster rows need next-frame fallback."
DERIVED-F1-ABOVE-90,derived,both DARE3D cases,main.tex:79,DARE3D F1 scores exceed 90 percent,>90,percent,two released evaluation movies,released component counts,config validation=test,,,released stats; nuclei checkpoint replay,released evaluator,2TP/(2TP+FP+FN),case-wise,,91.8519 nuclei; 93.4426 membrane,yes for released arithmetic,not untouched-test evidence; stated matcher not reproduced,partially reproducible,evidence/arithmetic_and_uncertainty.json; evidence/nuclei_saved_probability_replay.json; evidence/membrane_fp_investigation.json,"Numerically true for archived counts, but split and object definitions prevent full status."
DERIVED-BASELINE-2D,derived,analytic/simulation,main.tex:501-505,random nematic 2D RMS error,52.0,degrees,stated mathematical assumptions,analytic integral,,,,,,"nematic angle in [0,90 degrees]",RMS or Monte Carlo mean as stated,closed form,51.9615242271,display precision,valid under explicitly stated assumptions,fully reproducible,evidence/arithmetic_and_uncertainty.json,"Verifies the arithmetic/assumption, not empirical model performance."
DERIVED-BASELINE-3D,derived,analytic/simulation,main.tex:501-505,random nematic 3D RMS error,61.2,degrees,stated mathematical assumptions,analytic integral,,,,,,"nematic angle in [0,90 degrees]",RMS or Monte Carlo mean as stated,closed form,61.2178700408,display precision,valid under explicitly stated assumptions,fully reproducible,evidence/arithmetic_and_uncertainty.json,"Verifies the arithmetic/assumption, not empirical model performance."
DERIVED-UNCERTAINTY-NUC,derived,analytic/simulation,main.tex:481,manual-annotation uncertainty,approximately 20,degrees,stated mathematical assumptions,"2,000,000 fixed-seed samples",,,,,,"nematic angle in [0,90 degrees]",RMS or Monte Carlo mean as stated,fixed seed 20260828,20.2976208715,display precision,valid under explicitly stated assumptions,fully reproducible,evidence/arithmetic_and_uncertainty.json,"Verifies the arithmetic/assumption, not empirical model performance."
DERIVED-UNCERTAINTY-MEM,derived,analytic/simulation,main.tex:493,manual-annotation uncertainty,approximately 20,degrees,stated mathematical assumptions,"2,000,000 fixed-seed samples",,,,,,"nematic angle in [0,90 degrees]",RMS or Monte Carlo mean as stated,fixed seed 20260828,20.4458310753,display precision,valid under explicitly stated assumptions,fully reproducible,evidence/arithmetic_and_uncertainty.json,"Verifies the arithmetic/assumption, not empirical model performance."
PROTOCOL-N-FRAMES,protocol,DARE3D pipeline,"main.tex:334,337",N=3 consecutive input frames,N=3 consecutive input frames,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,3 channels in all four saved configs,configuration/source comparison,valid at configuration level,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Four saved configs.
PROTOCOL-SEG-CROP,protocol,DARE3D pipeline,main.tex:334,128^3 segmentation crops,128^3 segmentation crops,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,crop_size=128 in both segmentation configs,configuration/source comparison,valid at configuration level,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Four saved configs.
PROTOCOL-REG-CROP,protocol,DARE3D pipeline,main.tex:346,32^3 regression crops,32^3 regression crops,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,crop_size=32 in both regression configs,configuration/source comparison,valid at configuration level,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Four saved configs.
PROTOCOL-RADIUS,protocol,DARE3D pipeline,main.tex:330-331,target radius r=8 voxels,target radius r=8 voxels,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,cell_radius=8 in both segmentation configs,configuration/source comparison,valid at configuration level,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Four saved configs.
PROTOCOL-ISOTROPY,protocol,DARE3D pipeline,main.tex:334,resample to isotropic 1 um voxels,resample to isotropic 1 um voxels,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,"target_scale=1.0, but scales.json absent; regression evaluation skips resampling",configuration/source comparison,coordinate provenance incomplete,partially reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Missing scales materially changes nuclei F1.
PROTOCOL-PREPROCESS,protocol,DARE3D pipeline,"main.tex:334,477",histogram equalization and local contrast enhancement before modeling,histogram equalization and local contrast enhancement before modeling,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,configs use min-max normalization; histogram/contrast are augmentations,configuration/source comparison,implementation/provenance conflicts with wording,currently not reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Historical preprocessing products/source absent.
PROTOCOL-BALANCE,protocol,DARE3D pipeline,main.tex:334,50% positive and 50% hard-negative crops,50% positive and 50% hard-negative crops,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,sampling implementation exists; historical crop stream absent,configuration/source comparison,not provenance-verifiable,partially reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Nondeterministic training and no crop ledger.
PROTOCOL-SEG-ARCH,protocol,DARE3D pipeline,main.tex:337,six stages 32..1024 with residual units,six stages 32..1024 with residual units,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,both segmentation configs match,configuration/source comparison,valid at config/checkpoint level,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Strict nuclei checkpoint load passes.
PROTOCOL-EPOCHS,protocol,DARE3D pipeline,main.tex:338,200 training epochs,200 training epochs,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,membrane configs 200; nuclei 100; membrane segmentation last epoch 131,configuration/source comparison,manuscript does not describe nuclei run,partially reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Checkpoint/config conflict across cases.
PROTOCOL-BATCH,protocol,DARE3D pipeline,main.tex:338,batch size 32,batch size 32,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,membrane configs 32; nuclei configs 12,configuration/source comparison,manuscript does not describe nuclei run,partially reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Saved configs are authoritative for replay.
PROTOCOL-OPTIMIZER,protocol,DARE3D pipeline,main.tex:338,Adam optimizer at initial lr=0.1,Adam optimizer at initial lr=0.1,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,"configs/checkpoints use AdamW; segmentation lr=.1, regression lr=.001",configuration/source comparison,optimizer identity differs,currently not reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,No manuscript-matching run provenance.
PROTOCOL-REG-SVD,protocol,DARE3D pipeline,main.tex:348,3x3 rotation output orthogonalized by SVD,3x3 rotation output orthogonalized by SVD,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,current source/checkpoints implement this,configuration/source comparison,architectural description matches,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Downstream error metric remains problematic.
PROTOCOL-REG-ARCH,protocol,DARE3D pipeline,main.tex:351-352,five blocks starting at 16 filters,five blocks starting at 16 filters,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,nuclei matches; membrane has 3 stages starting at 32,configuration/source comparison,case-dependent contradiction,partially reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,One architecture is presented for both cases.
PROTOCOL-THRESHOLD,protocol,DARE3D pipeline,"main.tex:357,372",thresholds selected on validation,thresholds selected on validation,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,"selection exists, but val_dir=test_dir for both cases",configuration/source comparison,invalid for untouched-test inference,partially reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Test labels can select parameters.
PROTOCOL-FILTER,protocol,DARE3D pipeline,main.tex:357-372,retain only if S(O)>tau_S,retain only if S(O)>tau_S,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,evaluator retains equality and skips first foreground component,configuration/source comparison,implementation differs,currently not reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Membrane FP at .008736 survives cutoff .15.
PROTOCOL-MATCHING,protocol,DARE3D pipeline,"main.tex:318,372","one-to-one 10-voxel, +/-1-frame matching","one-to-one 10-voxel, +/-1-frame matching",protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,"evaluator uses temporal dilation, 4D components, near-zero IoU, greedy matching",configuration/source comparison,definition differs and edge cases fail,currently not reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,"Stated nuclei matcher gives 121/4/24, not 124/1/21."
PROTOCOL-F1,protocol,DARE3D pipeline,"main.tex:318-320,374",F1=2TP/(2TP+FN+FP),F1=2TP/(2TP+FN+FP),protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,formula exactly reconstructs both displays,configuration/source comparison,valid conditional on event definition,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Object definition remains disputed.
PROTOCOL-CI,protocol,DARE3D pipeline,main.tex:374,95% multinomial confidence interval,95% multinomial confidence interval,protocol,released nuclei and membrane runs,not applicable,saved train/validation/test config,as stated,best and last metadata inspected,source/config/checkpoint audit,not applicable,not applicable,not applicable,not applicable,logit multinomial delta method reproduces both displays,configuration/source comparison,arithmetic valid conditional on event independence,fully reproducible,evidence/checkpoint_metadata.json; evidence/scientific_edge_cases.json; evidence/nuclei_checkpoint_compatibility_summary.json; evidence/workflow_path_checks.json,Single-movie clustering not represented.
